Stop_ID,point1,Stop_ID,point2,distance
408,"Merrion Sq",7113,"Ballymun Road",6.807884725853317
408,"Merrion Sq",7113,"Ballymun Road",6.8975092876716895
412,"Northumberland Rd",7113,"Ballymun Road",7.596996280179991
414,"Pembroke Road",7113,"Ballymun Road",8.045450353973084
414,"Pembroke Road",7113,"Ballymun Road",8.167129442435856
416,Ballsbridge,7113,"Ballymun Road",8.443891729162265
416,Ballsbridge,7113,"Ballymun Road",8.491742017685647
416,Ballsbridge,7113,"Ballymun Road",8.534544643562237
418,"Merrion Road",7113,"Ballymun Road",8.868940898417577
418,"Merrion Road",7113,"Ballymun Road",8.971441585467224
422,"Merrion Road",7113,"Ballymun Road",9.96038163746279
422,"Merrion Road",7113,"Ballymun Road",9.96038163746279
422,"Merrion Road",7113,"Ballymun Road",10.08999178972808
424,"Merrion Road",7113,"Ballymun Road",10.404653822975089
424,"Merrion Road",7113,"Ballymun Road",10.527327119645017
424,"Merrion Road",7113,"Ballymun Road",10.578060779031068
424,"Merrion Road",7113,"Ballymun Road",10.744648845333312
426,"Rock Road",7113,"Ballymun Road",10.994103653916387
426,"Rock Road",7113,"Ballymun Road",11.253386424100572
428,"Rock Road",7113,"Ballymun Road",11.71925797904982
428,"Rock Road",7113,"Ballymun Road",11.88994444110825
6334,"Frascati Road",7113,"Ballymun Road",12.46351131602357
6334,"Frascati Road",7113,"Ballymun Road",12.46351131602357
6334,"Frascati Road",7113,"Ballymun Road",12.547433591805929
6334,"Frascati Road",7113,"Ballymun Road",12.553721618054242
6334,"Frascati Road",7113,"Ballymun Road",12.732231722337158
6334,"Frascati Road",7113,"Ballymun Road",12.945338266004182
6334,"Frascati Road",7113,"Ballymun Road",13.089685151174677
6334,"Frascati Road",7113,"Ballymun Road",13.089685151174677
6334,"Frascati Road",7113,"Ballymun Road",13.089685151174677
6334,"Frascati Road",7113,"Ballymun Road",13.176578311745851
113,"Ballymun Road",7113,"Ballymun Road",1.025303639878056
113,"Ballymun Road",7113,"Ballymun Road",1.041405441803925
147,"Mobhi Road",7113,"Ballymun Road",3.221052993480013
147,"Mobhi Road",7113,"Ballymun Road",3.334034403872634
147,"Mobhi Road",7113,"Ballymun Road",3.483270535984446
273,"O'Connell St",7113,"Ballymun Road",6.0442241387177065
273,"O'Connell St",7113,"Ballymun Road",6.0442241387177065
273,"O'Connell St",7113,"Ballymun Road",6.0442241387177065
273,"O'Connell St",7113,"Ballymun Road",6.0442241387177065
273,"O'Connell St",7113,"Ballymun Road",6.076709376998238
273,"O'Connell St",7113,"Ballymun Road",6.18022250581419
273,"O'Connell St",7113,"Ballymun Road",6.255285001736776
273,"O'Connell St",7113,"Ballymun Road",6.275796809339824
273,"O'Connell St",7113,"Ballymun Road",6.339267758908704
408,"Merrion Sq",7113,"Ballymun Road",6.7985642207167585
408,"Merrion Sq",7113,"Ballymun Road",6.888153893367528
412,"Northumberland Rd",7113,"Ballymun Road",7.587500314671995
414,"Pembroke Road",7113,"Ballymun Road",8.035940333193759
414,"Pembroke Road",7113,"Ballymun Road",8.157612199982358
416,Ballsbridge,7113,"Ballymun Road",8.434349438649289
416,Ballsbridge,7113,"Ballymun Road",8.482193886108462
416,Ballsbridge,7113,"Ballymun Road",8.524991564212907
418,"Merrion Road",7113,"Ballymun Road",8.859372474539178
418,"Merrion Road",7113,"Ballymun Road",8.961869611001614
422,"Merrion Road",7113,"Ballymun Road",9.950792156955329
422,"Merrion Road",7113,"Ballymun Road",9.950792156955329
422,"Merrion Road",7113,"Ballymun Road",10.080401807334473
424,"Merrion Road",7113,"Ballymun Road",10.395065407045353
424,"Merrion Road",7113,"Ballymun Road",10.517738903379026
424,"Merrion Road",7113,"Ballymun Road",10.56847256765572
424,"Merrion Road",7113,"Ballymun Road",10.735060672534972
426,"Rock Road",7113,"Ballymun Road",10.984516404157684
426,"Rock Road",7113,"Ballymun Road",11.24380221398356
428,"Rock Road",7113,"Ballymun Road",11.709684614684962
428,"Rock Road",7113,"Ballymun Road",11.880373742334994
6334,"Frascati Road",7113,"Ballymun Road",12.453954539750779
6334,"Frascati Road",7113,"Ballymun Road",12.453954539750779
6334,"Frascati Road",7113,"Ballymun Road",12.537878159297655
6334,"Frascati Road",7113,"Ballymun Road",12.54416638586885
6334,"Frascati Road",7113,"Ballymun Road",12.722682267035937
6334,"Frascati Road",7113,"Ballymun Road",12.935802487131498
6334,"Frascati Road",7113,"Ballymun Road",13.08015433021356
6334,"Frascati Road",7113,"Ballymun Road",13.08015433021356
6334,"Frascati Road",7113,"Ballymun Road",13.08015433021356
6334,"Frascati Road",7113,"Ballymun Road",13.167049225416326
113,"Ballymun Road",7113,"Ballymun Road",0.954102772213038
113,"Ballymun Road",7113,"Ballymun Road",0.9702133837679542
147,"Mobhi Road",7113,"Ballymun Road",3.152067828963718
147,"Mobhi Road",7113,"Ballymun Road",3.265705251210298
147,"Mobhi Road",7113,"Ballymun Road",3.4159250303560755
273,"O'Connell St",7113,"Ballymun Road",5.972550307392127
273,"O'Connell St",7113,"Ballymun Road",5.972550307392127
273,"O'Connell St",7113,"Ballymun Road",5.972550307392127
273,"O'Connell St",7113,"Ballymun Road",5.972550307392127
273,"O'Connell St",7113,"Ballymun Road",6.0049935377602
273,"O'Connell St",7113,"Ballymun Road",6.108217504559243
273,"O'Connell St",7113,"Ballymun Road",6.183556606199038
273,"O'Connell St",7113,"Ballymun Road",6.204170436623999
