,Intercept,Stop_sequence,scheduled_speed_per_stop,stops_travelled,Time_bin_xxx,DayOfWeek,Prediction
2866,1.0,9.0,0.9836065573770492,54.0,17110.0,2.0,64.66666666666666
139980,1.0,1.0,0.9836065573770492,17.0,19110.0,1.0,17.42745699409389
120803,1.0,31.0,0.9836065573770492,53.0,18000.0,2.0,40.03333333333334
67419,1.0,61.0,0.9836065573770492,57.0,19100.0,0.0,1.2083171730230553
54942,1.0,45.0,0.9836065573770492,59.0,12111.0,0.0,23.6
133380,1.0,56.0,0.9836065573770492,48.0,13110.0,5.0,2.1
134194,1.0,2.0,0.9836065573770492,55.0,8000.0,2.0,74.83333333333334
106913,1.0,21.0,0.9836065573770492,53.0,16100.0,0.0,56.325
130796,1.0,45.0,0.9836065573770492,52.0,12111.0,1.0,11.726071428571428
140291,1.0,60.0,0.9836065573770492,57.0,16110.0,2.0,4.919484641178885
55356,1.0,51.0,0.9836065573770492,55.0,22000.0,1.0,14.76666666666667
58486,1.0,56.0,0.9836065573770492,59.0,22100.0,2.0,11.0
62022,1.0,61.0,0.9836065573770492,51.0,9111.0,5.0,4.991379487668624
132803,1.0,56.0,0.9836065573770492,54.0,8110.0,3.0,7.55817864460534
14901,1.0,27.0,0.9836065573770492,53.0,12110.0,0.0,37.025
117165,1.0,29.0,0.9836065573770492,54.0,7111.0,4.0,43.61666666666666
86030,1.0,15.0,0.9836065573770492,53.0,9110.0,3.0,52.48
46875,1.0,35.0,0.9836065573770492,57.0,8110.0,4.0,37.3025641025641
113165,1.0,13.0,0.9836065573770492,59.0,7110.0,4.0,68.9
75406,1.0,61.0,0.9836065573770492,59.0,9000.0,2.0,5.248216447275847
55699,1.0,51.0,0.9836065573770492,57.0,19000.0,4.0,7.0
92222,1.0,33.0,0.9836065573770492,46.0,11000.0,1.0,22.866666666666667
18562,1.0,44.0,0.9836065573770492,49.0,14110.0,1.0,11.9
32672,1.0,57.0,0.9836065573770492,54.0,10100.0,4.0,1.6861707773220935
74122,1.0,61.0,0.9836065573770492,59.0,12100.0,0.0,1.7521428571428568
23480,1.0,57.0,0.9836065573770492,56.0,18111.0,3.0,6.232111522413942
84525,1.0,5.0,0.9836065573770492,56.0,10000.0,5.0,71.03083333333333
78777,1.0,10.0,0.9836065573770492,53.0,14100.0,3.0,55.5
85110,1.0,12.0,0.9836065573770492,48.0,6100.0,1.0,36.7
41856,1.0,24.0,0.9836065573770492,55.0,12111.0,5.0,35.46666666666667
121636,1.0,31.0,0.9836065573770492,56.0,16000.0,3.0,42.35
48925,1.0,35.0,0.9836065573770492,55.0,18100.0,0.0,24.81647186147186
8064,1.0,25.0,0.9836065573770492,53.0,18111.0,5.0,40.48583333333333
138659,1.0,20.0,0.9836065573770492,59.0,9100.0,5.0,48.8
54112,1.0,44.0,0.9836065573770492,58.0,12111.0,1.0,27.5
61463,1.0,61.0,0.9836065573770492,59.0,10000.0,4.0,3.6558652219229244
16498,1.0,35.0,0.9836065573770492,53.0,17110.0,6.0,24.15
103725,1.0,41.0,0.9836065573770492,18.0,17000.0,2.0,2.3261141636141636
59768,1.0,61.0,0.9836065573770492,55.0,18100.0,2.0,1.8748448103324264
104170,1.0,42.0,0.9836065573770492,52.0,11110.0,4.0,19.3
21294,1.0,57.0,0.9836065573770492,54.0,9110.0,2.0,10.424891517982118
80802,1.0,32.0,0.9836065573770492,50.0,16110.0,2.0,37.1
77055,1.0,8.0,0.9836065573770492,52.0,11111.0,0.0,57.5
113605,1.0,14.0,0.9836065573770492,57.0,16100.0,3.0,70.6
10556,1.0,26.0,0.9836065573770492,48.0,23110.0,0.0,27.601666666666667
56881,1.0,55.0,0.9836065573770492,57.0,14100.0,0.0,14.0
101198,1.0,29.0,0.9836065573770492,33.0,9110.0,4.0,35.9
39803,1.0,24.0,0.9836065573770492,53.0,16111.0,3.0,62.65047619047618
48786,1.0,35.0,0.9836065573770492,54.0,10110.0,0.0,21.78
122829,1.0,33.0,0.9836065573770492,54.0,14000.0,1.0,32.266666666666666
116491,1.0,43.0,0.9836065573770492,60.0,9110.0,1.0,30.2
77962,1.0,8.0,0.9836065573770492,56.0,13111.0,2.0,60.083333333333336
135587,1.0,48.0,0.9836065573770492,54.0,15111.0,3.0,20.8
102564,1.0,41.0,0.9836065573770492,59.0,18110.0,4.0,31.916666666666668
46257,1.0,35.0,0.9836065573770492,51.0,15100.0,1.0,29.450833333333332
123536,1.0,47.0,0.9836065573770492,46.0,16110.0,2.0,14.334276030986558
2445,1.0,9.0,0.9836065573770492,52.0,19111.0,2.0,50.5
128537,1.0,27.0,0.9836065573770492,55.0,14110.0,2.0,44.1
35929,1.0,57.0,0.9836065573770492,56.0,21000.0,3.0,3.0
119418,1.0,22.0,0.9836065573770492,60.0,15111.0,4.0,54.09285714285714
34619,1.0,57.0,0.9836065573770492,53.0,12100.0,1.0,4.215893773942509
9594,1.0,26.0,0.9836065573770492,27.0,23110.0,0.0,14.243944710260502
118593,1.0,11.0,0.9836065573770492,59.0,16111.0,4.0,68.4
31434,1.0,57.0,0.9836065573770492,54.0,10110.0,2.0,0.5814285714285714
138111,1.0,58.0,0.9836065573770492,59.0,13100.0,0.0,11.1875
2552,1.0,9.0,0.9836065573770492,50.0,12000.0,4.0,54.64666666666667
34967,1.0,57.0,0.9836065573770492,31.0,18100.0,1.0,3.2469612308691596
2710,1.0,9.0,0.9836065573770492,53.0,16100.0,0.0,73.425
66952,1.0,61.0,0.9836065573770492,57.0,10000.0,0.0,3.8629982407887278
1795,1.0,4.0,0.9836065573770492,53.0,7000.0,4.0,67.41333333333333
1853,1.0,4.0,0.9836065573770492,52.0,11000.0,5.0,60.99345238095238
3409,1.0,9.0,0.9836065573770492,50.0,14110.0,3.0,57.045
120997,1.0,31.0,0.9836065573770492,58.0,17100.0,1.0,47.0
65892,1.0,61.0,0.9836065573770492,59.0,18100.0,4.0,5.838123034859878
44351,1.0,6.0,0.9836065573770492,44.0,8111.0,3.0,53.471428571428575
64421,1.0,61.0,0.9836065573770492,58.0,13110.0,2.0,3.5252277327935224
91710,1.0,32.0,0.9836065573770492,42.0,8111.0,4.0,15.4
61198,1.0,61.0,0.9836065573770492,58.0,8000.0,4.0,3.6904507332580794
99763,1.0,19.0,0.9836065573770492,60.0,7000.0,1.0,50.71666666666667
82254,1.0,53.0,0.9836065573770492,44.0,15110.0,4.0,5.5
110048,1.0,28.0,0.9836065573770492,48.0,13000.0,5.0,28.71333333333334
111096,1.0,7.0,0.9836065573770492,59.0,20000.0,2.0,52.0
19625,1.0,51.0,0.9836065573770492,53.0,20000.0,4.0,8.7
139902,1.0,1.0,0.9836065573770492,56.0,14111.0,1.0,64.07000000000001
127106,1.0,6.0,0.9836065573770492,56.0,15000.0,0.0,67.33333333333333
112024,1.0,30.0,0.9836065573770492,49.0,17111.0,5.0,27.71
27011,1.0,57.0,0.9836065573770492,52.0,18100.0,1.0,2.7868255624304017
21767,1.0,57.0,0.9836065573770492,53.0,12000.0,2.0,1.0883549783549784
4060,1.0,16.0,0.9836065573770492,52.0,8000.0,4.0,60.857142857142854
133818,1.0,56.0,0.9836065573770492,53.0,8110.0,3.0,3.42870379321771
13090,1.0,27.0,0.9836065573770492,54.0,17100.0,4.0,48.75
132877,1.0,56.0,0.9836065573770492,53.0,9100.0,3.0,0.16666666666666666
61904,1.0,61.0,0.9836065573770492,60.0,19100.0,4.0,1.3118217893217894
30654,1.0,57.0,0.9836065573770492,53.0,21000.0,0.0,1.25982683982684
50948,1.0,8.0,0.9836065573770492,51.0,8110.0,2.0,58.04
118992,1.0,16.0,0.9836065573770492,54.0,18000.0,3.0,55.84166666666666
77544,1.0,8.0,0.9836065573770492,48.0,11110.0,4.0,63.73154761904762
86121,1.0,15.0,0.9836065573770492,54.0,12100.0,6.0,53.7
15584,1.0,27.0,0.9836065573770492,54.0,7100.0,0.0,41.24684033802454
102623,1.0,41.0,0.9836065573770492,59.0,19000.0,6.0,27.71428571428571
44238,1.0,6.0,0.9836065573770492,52.0,7000.0,0.0,59.1
131961,1.0,56.0,0.9836065573770492,53.0,9000.0,2.0,7.159826322785792
79258,1.0,23.0,0.9836065573770492,45.0,22110.0,2.0,42.1
22447,1.0,57.0,0.9836065573770492,54.0,18100.0,2.0,8.395130810361486
55607,1.0,51.0,0.9836065573770492,56.0,17000.0,2.0,16.758333333333333
95280,1.0,42.0,0.9836065573770492,43.0,21000.0,1.0,4.0
44065,1.0,6.0,0.9836065573770492,53.0,10111.0,1.0,62.416666666666664
56083,1.0,51.0,0.9836065573770492,57.0,16111.0,2.0,8.673333333333332
139565,1.0,1.0,0.9836065573770492,56.0,23000.0,1.0,52.627950751896776
17465,1.0,36.0,0.9836065573770492,54.0,17000.0,2.0,32.516666666666666
13091,1.0,27.0,0.9836065573770492,54.0,17100.0,4.0,48.75
46880,1.0,35.0,0.9836065573770492,54.0,9100.0,4.0,26.760833333333334
48728,1.0,35.0,0.9836065573770492,58.0,19111.0,6.0,28.98095238095238
63854,1.0,61.0,0.9836065573770492,46.0,11000.0,1.0,1.3553839869281046
125318,1.0,38.0,0.9836065573770492,56.0,13100.0,4.0,23.34
59439,1.0,61.0,0.9836065573770492,59.0,10000.0,2.0,2.8237079437646155
51910,1.0,36.0,0.9836065573770492,35.0,17100.0,3.0,30.03641063865124
134935,1.0,59.0,0.9836065573770492,57.0,17111.0,0.0,12.8
96143,1.0,18.0,0.9836065573770492,59.0,12110.0,5.0,66.2
104106,1.0,41.0,0.9836065573770492,55.0,7110.0,3.0,23.5
81355,1.0,32.0,0.9836065573770492,49.0,14100.0,4.0,40.8
28661,1.0,57.0,0.9836065573770492,49.0,23100.0,3.0,1.8022358523829112
100562,1.0,19.0,0.9836065573770492,57.0,6110.0,3.0,45.3
134680,1.0,59.0,0.9836065573770492,55.0,10000.0,0.0,17.806666666666665
33691,1.0,57.0,0.9836065573770492,54.0,7111.0,0.0,3.1377657649526554
865,1.0,4.0,0.9836065573770492,53.0,14110.0,3.0,59.9204761904762
67278,1.0,61.0,0.9836065573770492,57.0,18000.0,0.0,3.099584601956724
138667,1.0,20.0,0.9836065573770492,59.0,7110.0,0.0,64.93333333333334
62539,1.0,61.0,0.9836065573770492,57.0,12100.0,6.0,11.348571428571429
111600,1.0,7.0,0.9836065573770492,54.0,9100.0,3.0,59.2
56156,1.0,51.0,0.9836065573770492,56.0,15000.0,4.0,13.3
122916,1.0,40.0,0.9836065573770492,20.0,15110.0,3.0,16.51666666666667
132126,1.0,56.0,0.9836065573770492,54.0,8110.0,3.0,7.55817864460534
