stopid,displaystopid,shortname,fullname,latitude,longitude,lastupdated,OperatorName,routes,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,route21,route22,route23
547,547,Dublin Rd,Dublin Rd,53.38861889,-6.123183056,29/05/2017 09:46,bac,"31, 31B, 31A, , , , , , , , , , , , , , , , , , , , ",31,31B,31A,,,,,,,,,,,,,,,,,,,,
548,548,Dublin Rd,Dublin Rd,53.388875,-6.11805,29/05/2017 09:46,bac,"31A, 31B, 31, , , , , , , , , , , , , , , , , , , , ",31A,31B,31,,,,,,,,,,,,,,,,,,,,
549,549,Dublin Rd,Dublin Rd,53.38908889,-6.114516944,29/05/2017 09:46,bac,"31, 31B, 31A, , , , , , , , , , , , , , , , , , , , ",31,31B,31A,,,,,,,,,,,,,,,,,,,,
550,550,Sutton Cross,Sutton Cross,53.38968806,-6.108193889,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
551,551,Howth Road,Howth Road,53.39003806,-6.104628889,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
552,552,Howth Road,Howth Road,53.39068194,-6.101001111,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
553,553,Howth Road,Howth Road,53.39097889,-6.090661944,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
554,554,Howth Road,Howth Road,53.390645,-6.086158889,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
555,555,Howth Road,Howth Road,53.38889,-6.079465,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
557,557,Howth Road,Howth Road,53.388825,-6.0732,29/05/2017 09:46,bac,"31A, 31B, 31, , , , , , , , , , , , , , , , , , , , ",31A,31B,31,,,,,,,,,,,,,,,,,,,,
558,558,Howth Road,Howth Road,53.38841194,-6.070418056,29/05/2017 09:46,bac,"31, 31B, 31A, , , , , , , , , , , , , , , , , , , , ",31,31B,31A,,,,,,,,,,,,,,,,,,,,
559,559,Howth Road,Howth Road,53.38834889,-6.065075,29/05/2017 09:46,bac,"31A, 31B, 31, , , , , , , , , , , , , , , , , , , , ",31A,31B,31,,,,,,,,,,,,,,,,,,,,
560,560,Howth,Howth,53.38608806,-6.065326944,29/05/2017 09:46,bac,"31, 31B, 31A, , , , , , , , , , , , , , , , , , , , ",31,31B,31A,,,,,,,,,,,,,,,,,,,,
562,562,Thormanby Road,Thormanby Road,53.38187806,-6.05915,29/05/2017 09:46,bac,"31A, 31B, 31, , , , , , , , , , , , , , , , , , , , ",31A,31B,31,,,,,,,,,,,,,,,,,,,,
563,563,Thormanby Road,Thormanby Road,53.38025694,-6.057536111,29/05/2017 09:46,bac,"31, 31B, 31A, , , , , , , , , , , , , , , , , , , , ",31,31B,31A,,,,,,,,,,,,,,,,,,,,
564,564,Thormanby Road,Thormanby Road,53.37833806,-6.056621111,29/05/2017 09:46,bac,"31A, 31B, 31, , , , , , , , , , , , , , , , , , , , ",31A,31B,31,,,,,,,,,,,,,,,,,,,,
565,565,Thormanby Road,Thormanby Road,53.37525389,-6.05458,29/05/2017 09:46,bac,"31, 31B, 31A, , , , , , , , , , , , , , , , , , , , ",31,31B,31A,,,,,,,,,,,,,,,,,,,,
566,566,Thormanby Road,Thormanby Road,53.37376806,-6.056111111,29/05/2017 09:46,bac,"31A, 31B, 31, , , , , , , , , , , , , , , , , , , , ",31A,31B,31,,,,,,,,,,,,,,,,,,,,
567,567,Thormanby Road,Thormanby Road,53.372485,-6.05864,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
568,568,Thormanby Road,Thormanby Road,53.37393611,-6.055788889,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
569,569,Thormanby Road,Thormanby Road,53.37557194,-6.054733056,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
570,570,Thormanby Road,Thormanby Road,53.37733111,-6.05582,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
571,571,Thormanby Road,Thormanby Road,53.37855889,-6.056888056,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
572,572,Thormanby Road,Thormanby Road,53.38041889,-6.057736944,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
573,573,Thormanby Road,Thormanby Road,53.38221694,-6.05971,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
574,574,Thormanby Road,Thormanby Road,53.38461389,-6.064253056,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
575,575,Howth,Howth,53.38598,-6.065403056,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
576,576,Harbour Road,Harbour Road,53.38775306,-6.066343889,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
577,577,Harbour Road,Harbour Road,53.38815806,-6.070151111,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
579,579,Howth Road,Howth Road,53.38866,-6.074273889,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
580,580,Howth Road,Howth Road,53.38876889,-6.079618889,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
581,581,Howth Road,Howth Road,53.390055,-6.083983056,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
582,582,Howth Road,Howth Road,53.39095111,-6.091966944,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
583,583,Howth Road,Howth Road,53.39075889,-6.100118056,29/05/2017 09:46,bac,"31A, 31, , , , , , , , , , , , , , , , , , , , , ",31A,31,,,,,,,,,,,,,,,,,,,,,
584,584,Howth Road,Howth Road,53.38989389,-6.105185,29/05/2017 09:46,bac,"31, 31A, , , , , , , , , , , , , , , , , , , , , ",31,31A,,,,,,,,,,,,,,,,,,,,,
585,585,Sutton Cross,Sutton Cross,53.38934889,-6.110821944,29/05/2017 09:46,bac,"31A, 31B, 31, , , , , , , , , , , , , , , , , , , , ",31A,31B,31,,,,,,,,,,,,,,,,,,,,
586,586,Dublin Rd,Dublin Rd,53.388835,-6.116818056,29/05/2017 09:46,bac,"31, 31B, 31A, , , , , , , , , , , , , , , , , , , , ",31,31B,31A,,,,,,,,,,,,,,,,,,,,
587,587,Dublin Rd,Dublin Rd,53.38842806,-6.124698889,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 31, , , , , , , , , , , , , , , , , , ",31A,31B,31D,32,31,,,,,,,,,,,,,,,,,,
588,588,Dublin Rd,Dublin Rd,53.38805111,-6.127578889,29/05/2017 09:46,bac,"31, 32, 31D, 31B, 31A, 32X, , , , , , , , , , , , , , , , , ",31,32,31D,31B,31A,32X,,,,,,,,,,,,,,,,,
589,589,Dublin Rd,Dublin Rd,53.38684389,-6.134261944,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 31, , , , , , , , , , , , , , , , , , ",31A,31B,31D,32,31,,,,,,,,,,,,,,,,,,
590,590,Dublin Rd,Dublin Rd,53.386205,-6.137238056,29/05/2017 09:46,bac,"31, 32, 31D, 31B, 31A, 32X, , , , , , , , , , , , , , , , , ",31,32,31D,31B,31A,32X,,,,,,,,,,,,,,,,,
591,591,Dublin Rd,Dublin Rd,53.38431806,-6.144268889,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 31, , , , , , , , , , , , , , , , , , ",31A,31B,31D,32,31,,,,,,,,,,,,,,,,,,
592,592,Dublin Rd,Dublin Rd,53.38275306,-6.148428056,29/05/2017 09:46,bac,"31, 32, 31D, 31B, 31A, , , , , , , , , , , , , , , , , , ",31,32,31D,31B,31A,,,,,,,,,,,,,,,,,,
593,593,Howth Road,Howth Road,53.38196,-6.15113,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 31, , , , , , , , , , , , , , , , , , ",31A,31B,31D,32,31,,,,,,,,,,,,,,,,,,
594,594,Howth Road,Howth Road,53.38116389,-6.155551111,29/05/2017 09:46,bac,"31, 32, 31D, 31B, 31A, , , , , , , , , , , , , , , , , , ",31,32,31D,31B,31A,,,,,,,,,,,,,,,,,,
595,595,Howth Road,Howth Road,53.38059611,-6.159226944,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 31, , , , , , , , , , , , , , , , , , ",31A,31B,31D,32,31,,,,,,,,,,,,,,,,,,
596,596,Howth Road,Howth Road,53.38025611,-6.161783056,29/05/2017 09:46,bac,"31, 32, 31D, 31B, 31A, , , , , , , , , , , , , , , , , , ",31,32,31D,31B,31A,,,,,,,,,,,,,,,,,,
597,597,Howth Road,Howth Road,53.38001389,-6.16469,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 31, , , , , , , , , , , , , , , , , , ",31A,31B,31D,32,31,,,,,,,,,,,,,,,,,,
598,598,Howth Road,Howth Road,53.37983806,-6.169111111,29/05/2017 09:46,bac,"31, 32, 31D, 31B, 31A, , , , , , , , , , , , , , , , , , ",31,32,31D,31B,31A,,,,,,,,,,,,,,,,,,
599,599,Howth Road,Howth Road,53.38033389,-6.173003889,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 31, , , , , , , , , , , , , , , , , , ",31A,31B,31D,32,31,,,,,,,,,,,,,,,,,,
600,600,Howth Road,Howth Road,53.38023611,-6.176206944,29/05/2017 09:46,bac,"31, 29A, 32, 31D, 31B, 31A, , , , , , , , , , , , , , , , , ",31,29A,32,31D,31B,31A,,,,,,,,,,,,,,,,,
601,601,Howth Road,Howth Road,53.379245,-6.179636944,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 31, , , , , , , , , , , , , , , , , , ",31A,31B,31D,32,31,,,,,,,,,,,,,,,,,,
602,602,Howth Road,Howth Road,53.378145,-6.183033889,29/05/2017 09:46,bac,"31, 32, 31D, 31B, 31A, , , , , , , , , , , , , , , , , , ",31,32,31D,31B,31A,,,,,,,,,,,,,,,,,,
603,603,Howth Road,Howth Road,53.37742806,-6.187416944,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 31, , , , , , , , , , , , , , , , , , ",31A,31B,31D,32,31,,,,,,,,,,,,,,,,,,
604,604,Howth Road,Howth Road,53.37635111,-6.190776111,29/05/2017 09:46,bac,"31, 29A, 32, 31D, 31B, 31A, , , , , , , , , , , , , , , , , ",31,29A,32,31D,31B,31A,,,,,,,,,,,,,,,,,
605,605,Howth Road,Howth Road,53.37565389,-6.193551944,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 29A, 31, , , , , , , , , , , , , , , , , ",31A,31B,31D,32,29A,31,,,,,,,,,,,,,,,,,
606,606,Howth Road,Howth Road,53.37470611,-6.19785,29/05/2017 09:46,bac,"31, 29A, 32, 31D, 31B, 31A, , , , , , , , , , , , , , , , , ",31,29A,32,31D,31B,31A,,,,,,,,,,,,,,,,,
607,607,Howth Road,Howth Road,53.37250389,-6.20215,29/05/2017 09:46,bac,"31A, 31B, 31D, 32, 29A, 31, , , , , , , , , , , , , , , , , ",31A,31B,31D,32,29A,31,,,,,,,,,,,,,,,,,
608,608,Howth Road,Howth Road,53.371125,-6.20412,29/05/2017 09:46,bac,"31, 29A, 32, 31D, 31B, 31A, 104, , , , , , , , , , , , , , , , ",31,29A,32,31D,31B,31A,104,,,,,,,,,,,,,,,,
609,609,Howth Road,Howth Road,53.36983194,-6.208601944,29/05/2017 09:46,bac,"31A, 31B, 32, 29A, 31, , , , , , , , , , , , , , , , , , ",31A,31B,32,29A,31,,,,,,,,,,,,,,,,,,
610,610,Howth Road,Howth Road,53.36835111,-6.211528889,29/05/2017 09:46,bac,"31, 29A, 32, 31B, 31A, , , , , , , , , , , , , , , , , , ",31,29A,32,31B,31A,,,,,,,,,,,,,,,,,,
611,611,Howth Road,Howth Road,53.36674806,-6.218891944,29/05/2017 09:46,bac,"31A, 31B, 32, 29A, 31, , , , , , , , , , , , , , , , , , ",31A,31B,32,29A,31,,,,,,,,,,,,,,,,,,
612,612,Howth Road,Howth Road,53.36586694,-6.223985,29/05/2017 09:46,bac,"31, 29A, 32, 31B, 31A, , , , , , , , , , , , , , , , , , ",31,29A,32,31B,31A,,,,,,,,,,,,,,,,,,
613,613,Howth Road,Howth Road,53.36461306,-6.226796111,29/05/2017 09:46,bac,"31A, 31B, 32, 29A, 31, , , , , , , , , , , , , , , , , , ",31A,31B,32,29A,31,,,,,,,,,,,,,,,,,,
614,614,Fairview,Fairview,53.36360611,-6.233541111,29/05/2017 09:46,bac,"31, 29A, 27X, 27B, 27A, 27, 32, 31B, 31A, 14C, 15, 130, 14, 32X, 42, 43, , , , , , , ",31,29A,27X,27B,27A,27,32,31B,31A,14C,15,130,14,32X,42,43,,,,,,,
615,615,Annesley Brg Rd.,Annesley Brg Rd.,53.36189806,-6.237338056,29/05/2017 09:46,bac,"43, 42, 14, 130, 15, 14C, 31A, 31B, 32, 27, 27A, 27B, 29A, 31, , , , , , , , , ",43,42,14,130,15,14C,31A,31B,32,27,27A,27B,29A,31,,,,,,,,,
616,616,North Strand Rd,North Strand Rd,53.35983194,-6.239618056,29/05/2017 09:46,bac,"31, 29A, 27B, 27A, 27, 32, 31B, 31A, 14C, 15, 130, 14, 42, 43, 53, , , , , , , , ",31,29A,27B,27A,27,32,31B,31A,14C,15,130,14,42,43,53,,,,,,,,
617,617,North Strand Rd,North Strand Rd,53.3579,-6.2421,29/05/2017 09:46,bac,"53, 43, 42, 14, 130, 15, 14C, 31A, 31B, 32, 27, 27A, 27B, 29A, 31, , , , , , , , ",53,43,42,14,130,15,14C,31A,31B,32,27,27A,27B,29A,31,,,,,,,,
618,618,North Strand Rd,North Strand Rd,53.35608,-6.24478,29/05/2017 09:46,bac,"31, 29A, 27B, 27A, 27, 32, 31B, 31A, 14C, 15, 130, 14, 42, 43, 53, , , , , , , , ",31,29A,27B,27A,27,32,31B,31A,14C,15,130,14,42,43,53,,,,,,,,
619,619,Amiens Street,Amiens Street,53.35400306,-6.247281111,29/05/2017 09:46,bac,"53, 43, 42, 14, 130, 15, 14C, 31A, 31B, 32, 27, 27A, 27B, 29A, 31, , , , , , , , ",53,43,42,14,130,15,14C,31A,31B,32,27,27A,27B,29A,31,,,,,,,,
620,620,Talbot Street,Talbot Street,53.350965,-6.252733889,29/05/2017 09:46,bac,"31, 29A, 27A, 32, 31B, 31A, 130, 747, , , , , , , , , , , , , , , ",31,29A,27A,32,31B,31A,130,747,,,,,,,,,,,,,,,
621,621,Talbot Street,Talbot Street,53.35038889,-6.25626,29/05/2017 09:46,bac,"130, 31A, 31B, 32, 27A, 29A, 31, 32X, , , , , , , , , , , , , , , ",130,31A,31B,32,27A,29A,31,32X,,,,,,,,,,,,,,,
624,624,Harmonstown Rd,Harmonstown Rd,53.38018306,-6.189103889,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
625,625,Harmonstown Rd,Harmonstown Rd,53.38178806,-6.186306111,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
626,626,Edenmore Green,Edenmore Green,53.38448806,-6.18403,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
627,627,Edenmore Grove,Edenmore Grove,53.38540889,-6.181983056,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
628,628,Edenmore Grove,Edenmore Grove,53.38694806,-6.183883056,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
629,629,Edenmore Park,Edenmore Park,53.38652306,-6.185941111,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
630,630,Springdale Rd,Springdale Rd,53.38724306,-6.189301944,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
633,633,Tonlegee Dr,Tonlegee Dr,53.38964111,-6.189335,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
634,634,Tonlegee Ave,Tonlegee Ave,53.39026889,-6.184126944,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
635,635,Glenwood Rd,Glenwood Rd,53.38901694,-6.183906111,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
636,636,Glenwood Rd,Glenwood Rd,53.38885194,-6.186716111,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
637,637,Springdale Rd,Springdale Rd,53.38778889,-6.189863889,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
638,638,Springdale Rd,Springdale Rd,53.38675806,-6.188356111,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
639,639,Edenmore Park,Edenmore Park,53.38633389,-6.186723889,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
640,640,Edenmore Grove,Edenmore Grove,53.3867,-6.183433056,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
641,641,Edenmore Grove,Edenmore Grove,53.385825,-6.182368056,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
642,642,Edenmore Green,Edenmore Green,53.38472611,-6.183091111,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
643,643,Harmonstown Rd,Harmonstown Rd,53.38356194,-6.183863056,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
644,644,Harmonstown Rd,Harmonstown Rd,53.38235694,-6.185683889,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
645,645,Harmonstown Rd,Harmonstown Rd,53.38017111,-6.188613056,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
649,649,All Saints Rd,All Saints Rd,53.37628694,-6.189643056,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
650,650,All Saints Rd,All Saints Rd,53.375315,-6.185498889,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
651,651,All Saints Rd,All Saints Rd,53.37548194,-6.179916944,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
653,653,Raheny,Raheny,53.37946194,-6.175323056,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
654,654,Watermill Rd,Watermill Rd,53.37921111,-6.176998889,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
655,655,Watermill Drive,Watermill Drive,53.37773611,-6.175413889,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
656,656,Watermill Drive,Watermill Drive,53.37647306,-6.177691111,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
657,657,All Saints Park,All Saints Park,53.37554889,-6.178925,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
658,658,All Saints Rd,All Saints Rd,53.37498,-6.183123889,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
659,659,All Saints Rd,All Saints Rd,53.37525611,-6.185796944,29/05/2017 09:46,bac,"29A, , , , , , , , , , , , , , , , , , , , , , ",29A,,,,,,,,,,,,,,,,,,,,,,
661,661,Navan Rd,Navan Rd,53.39241806,-6.383468889,29/05/2017 09:46,bac,"220, 236, 238, , , , , , , , , , , , , , , , , , , , ",220,236,238,,,,,,,,,,,,,,,,,,,,
662,662,Collins Avenue East,Collins Avenue East,53.37387111,-6.212621944,29/05/2017 09:46,bac,"104, , , , , , , , , , , , , , , , , , , , , , ",104,,,,,,,,,,,,,,,,,,,,,,
663,663,Collins Avenue East,Collins Avenue East,53.37476806,-6.217048056,29/05/2017 09:46,bac,"104, , , , , , , , , , , , , , , , , , , , , , ",104,,,,,,,,,,,,,,,,,,,,,,
664,664,Malahide Road,Malahide Road,53.37466,-6.219551111,29/05/2017 09:46,bac,"14, 14C, 15, 27X, 27B, 27A, 27, 42, 43, , , , , , , , , , , , , , ",14,14C,15,27X,27B,27A,27,42,43,,,,,,,,,,,,,,
665,665,Malahide Road,Malahide Road,53.37247889,-6.222061111,29/05/2017 09:46,bac,"43, 42, 27, 27A, 27B, 15, 14C, 14, , , , , , , , , , , , , , , ",43,42,27,27A,27B,15,14C,14,,,,,,,,,,,,,,,
666,666,Malahide Road,Malahide Road,53.37016694,-6.22429,29/05/2017 09:46,bac,"14, 14C, 15, 27B, 27A, 27, 42, 43, , , , , , , , , , , , , , , ",14,14C,15,27B,27A,27,42,43,,,,,,,,,,,,,,,
667,667,Malahide Road,Malahide Road,53.36797389,-6.226978056,29/05/2017 09:46,bac,"43, 42, 27, 27A, 27B, 15, 14C, 14, , , , , , , , , , , , , , , ",43,42,27,27A,27B,15,14C,14,,,,,,,,,,,,,,,
668,668,Malahide Road,Malahide Road,53.36457611,-6.229335,29/05/2017 09:46,bac,"14, 14C, 15, 27B, 27A, 27, 42, 43, , , , , , , , , , , , , , , ",14,14C,15,27B,27A,27,42,43,,,,,,,,,,,,,,,
669,669,Malahide Road,Malahide Road,53.36631111,-6.228656944,29/05/2017 09:46,bac,"43, 42, 27, 27A, 27B, 15, 14, , , , , , , , , , , , , , , , ",43,42,27,27A,27B,15,14,,,,,,,,,,,,,,,,
670,670,Malahide Road,Malahide Road,53.36895,-6.226008889,29/05/2017 09:46,bac,"14, 15, 27B, 27A, 27, 42, 43, , , , , , , , , , , , , , , , ",14,15,27B,27A,27,42,43,,,,,,,,,,,,,,,,
671,671,Malahide Road,Malahide Road,53.37071889,-6.224138056,29/05/2017 09:46,bac,"43, 42, 27, 27A, 27B, 15, 14, , , , , , , , , , , , , , , , ",43,42,27,27A,27B,15,14,,,,,,,,,,,,,,,,
672,672,Malahide Road,Malahide Road,53.373465,-6.221061111,29/05/2017 09:46,bac,"14, 15, 27B, 27A, 27, 42, 43, , , , , , , , , , , , , , , , ",14,15,27B,27A,27,42,43,,,,,,,,,,,,,,,,
674,674,Collins Ave,Collins Ave,53.37468806,-6.216073056,29/05/2017 09:46,bac,"31D, 104, , , , , , , , , , , , , , , , , , , , , ",31D,104,,,,,,,,,,,,,,,,,,,,,
675,675,Amiens Street,Amiens Street,53.352855,-6.248531944,29/05/2017 09:46,bac,"15, 14C, 14, 130, 31B, 31A, 32, 27, 27A, 27B, 29A, 31, 43, 42, 32X, 53, , , , , , , ",15,14C,14,130,31B,31A,32,27,27A,27B,29A,31,43,42,32X,53,,,,,,,
677,677,Greenfield Rd,Greenfield Rd,53.38921,-6.109311944,29/05/2017 09:46,bac,"31B, , , , , , , , , , , , , , , , , , , , , , ",31B,,,,,,,,,,,,,,,,,,,,,,
678,678,Greenfield Rd,Greenfield Rd,53.38774,-6.105976944,29/05/2017 09:46,bac,"31B, , , , , , , , , , , , , , , , , , , , , , ",31B,,,,,,,,,,,,,,,,,,,,,,
679,679,Greenfield Rd,Greenfield Rd,53.38645389,-6.102961944,29/05/2017 09:46,bac,"31B, , , , , , , , , , , , , , , , , , , , , , ",31B,,,,,,,,,,,,,,,,,,,,,,
680,680,Strand Road,Strand Road,53.38392806,-6.100676944,29/05/2017 09:46,bac,"31B, 31A, , , , , , , , , , , , , , , , , , , , , ",31B,31A,,,,,,,,,,,,,,,,,,,,,
681,681,Strand Road,Strand Road,53.38122806,-6.1022,29/05/2017 09:46,bac,"31A, 31B, , , , , , , , , , , , , , , , , , , , , ",31A,31B,,,,,,,,,,,,,,,,,,,,,
682,682,Strand Road,Strand Road,53.37940194,-6.102643056,29/05/2017 09:46,bac,"31B, 31A, , , , , , , , , , , , , , , , , , , , , ",31B,31A,,,,,,,,,,,,,,,,,,,,,
683,683,St. Fintans Road,St. Fintans Road,53.37767306,-6.100295,29/05/2017 09:46,bac,"31A, 31B, , , , , , , , , , , , , , , , , , , , , ",31A,31B,,,,,,,,,,,,,,,,,,,,,
684,684,St. Fintans Road,St. Fintans Road,53.37658111,-6.097615,29/05/2017 09:46,bac,"31B, 31A, , , , , , , , , , , , , , , , , , , , , ",31B,31A,,,,,,,,,,,,,,,,,,,,,
685,685,St. Fintans Road,St. Fintans Road,53.37540806,-6.094828889,29/05/2017 09:46,bac,"31A, 31B, , , , , , , , , , , , , , , , , , , , , ",31A,31B,,,,,,,,,,,,,,,,,,,,,
686,686,Sheilmartin Rd,Sheilmartin Rd,53.37385889,-6.094335,29/05/2017 09:46,bac,"31B, 31A, , , , , , , , , , , , , , , , , , , , , ",31B,31A,,,,,,,,,,,,,,,,,,,,,
688,688,Strand Road,Strand Road,53.372915,-6.097753056,29/05/2017 09:46,bac,"31A, 31B, , , , , , , , , , , , , , , , , , , , , ",31A,31B,,,,,,,,,,,,,,,,,,,,,
689,689,Strand Road,Strand Road,53.37476306,-6.099276944,29/05/2017 09:46,bac,"31B, 31A, , , , , , , , , , , , , , , , , , , , , ",31B,31A,,,,,,,,,,,,,,,,,,,,,
