stopid,displaystopid,shortname,fullname,latitude,longitude,lastupdated,OperatorName,routes,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,route21,route22,route23
7181,7181,Tallaght,Tallaght,53.28605389,-6.373333889,29/05/2017 09:46,bac,"49, 75, , , , , , , , , , , , , , , , , , , , , ",49,75,,,,,,,,,,,,,,,,,,,,,
7183,7183,Firhouse Rd West,Firhouse Rd West,53.27704611,-6.372431944,29/05/2017 09:46,bac,"49, 65B, , , , , , , , , , , , , , , , , , , , , ",49,65B,,,,,,,,,,,,,,,,,,,,,
7184,7184,Lucan Bypass,Lucan Bypass,53.352125,-6.436151944,29/05/2017 09:46,bac,"67X, 66X, 25D, , , , , , , , , , , , , , , , , , , , ",67X,66X,25D,,,,,,,,,,,,,,,,,,,,
7185,7185,Lucan Bypass,Lucan Bypass,53.35476111,-6.460901944,29/05/2017 09:46,bac,"66X, 67X, , , , , , , , , , , , , , , , , , , , , ",66X,67X,,,,,,,,,,,,,,,,,,,,,
7186,7186,Leixlip Rd,Leixlip Rd,53.35672306,-6.465285,29/05/2017 09:46,bac,"67X, 66X, 66B, 67, 66A, 66, , , , , , , , , , , , , , , , , ",67X,66X,66B,67,66A,66,,,,,,,,,,,,,,,,,
7187,7187,Leixlip Rd,Leixlip Rd,53.35756194,-6.467616111,29/05/2017 09:46,bac,"66, 66A, 67, 66B, 66X, 67X, 25X, , , , , , , , , , , , , , , , ",66,66A,67,66B,66X,67X,25X,,,,,,,,,,,,,,,,
7188,7188,Temple Road,Temple Road,53.299475,-6.174755,29/05/2017 09:46,bac,"84A, 84, , , , , , , , , , , , , , , , , , , , , ",84A,84,,,,,,,,,,,,,,,,,,,,,
7189,7189,Seatown,Seatown,53.46085194,-6.210101111,29/05/2017 09:46,bac,"41, 43, , , , , , , , , , , , , , , , , , , , , ",41,43,,,,,,,,,,,,,,,,,,,,,
7191,7191,Balbutcher Lane,Balbutcher Lane,53.40450889,-6.2762,29/05/2017 09:46,bac,"13, , , , , , , , , , , , , , , , , , , , , , ",13,,,,,,,,,,,,,,,,,,,,,,
7192,7192,Balbutcher Lane,Balbutcher Lane,53.40381694,-6.275183889,29/05/2017 09:46,bac,"13, , , , , , , , , , , , , , , , , , , , , , ",13,,,,,,,,,,,,,,,,,,,,,,
7193,7193,Lucan Bypass,Lucan Bypass,53.35405889,-6.458876944,29/05/2017 09:46,bac,"67X, 66X, , , , , , , , , , , , , , , , , , , , , ",67X,66X,,,,,,,,,,,,,,,,,,,,,
7194,7194,Holywell Link Rd,Holywell Link Rd,53.44722389,-6.207528889,29/05/2017 09:46,bac,"42D, 142, , , , , , , , , , , , , , , , , , , , , ",42D,142,,,,,,,,,,,,,,,,,,,,,
7195,7195,Holywell Link Rd,Holywell Link Rd,53.44731611,-6.207843056,29/05/2017 09:46,bac,"142, 42D, , , , , , , , , , , , , , , , , , , , , ",142,42D,,,,,,,,,,,,,,,,,,,,,
7196,7196,Holywell,Holywell,53.44494694,-6.212515,29/05/2017 09:46,bac,"142, , , , , , , , , , , , , , , , , , , , , , ",142,,,,,,,,,,,,,,,,,,,,,,
7197,7197,Holywell,Holywell,53.44500694,-6.21228,29/05/2017 09:46,bac,"142, 42D, , , , , , , , , , , , , , , , , , , , , ",142,42D,,,,,,,,,,,,,,,,,,,,,
7199,7199,Blunden Drive,Blunden Drive,53.39664111,-6.182783056,29/05/2017 09:46,bac,"27A, , , , , , , , , , , , , , , , , , , , , , ",27A,,,,,,,,,,,,,,,,,,,,,,
7201,7201,Bawnogue Road,Bawnogue Road,53.32809694,-6.411338889,29/05/2017 09:46,bac,"13, 51D, , , , , , , , , , , , , , , , , , , , , ",13,51D,,,,,,,,,,,,,,,,,,,,,
7204,7204,Portrane,Portrane,53.49287194,-6.106623889,29/05/2017 09:46,bac,"33B, , , , , , , , , , , , , , , , , , , , , , ",33B,,,,,,,,,,,,,,,,,,,,,,
