stopid,displaystopid,shortname,fullname,latitude,longitude,lastupdated,OperatorName,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,route21,route22,route23,route24,route25,route26,route27,route28,route29,route30,route31,route32,route33,route34,route35
2,2,Parnell Square,Parnell Square,53.35224111,-6.263695,12/06/2017 08:09,bac,38,38A,38D,38B,46A,46E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Parnell Square,Parnell Square,53.35230694,-6.263783056,12/06/2017 08:09,bac,120,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Parnell Square,Parnell Square,53.35256694,-6.264166111,12/06/2017 08:09,bac,7,7B,7A,7D,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Parnell Square,Parnell Square,53.35274389,-6.264443056,12/06/2017 08:09,bac,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Parnell Square,Parnell Square,53.35283611,-6.264561944,12/06/2017 08:09,bac,40,40B,40D,13,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Parnell Square,Parnell Square,53.35328111,-6.265155,12/06/2017 08:09,bac,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,Parnell Square,Parnell Square,53.35338694,-6.265383889,12/06/2017 08:09,bac,16C,16,1,11,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Dorset St,Dorset St,53.35709389,-6.264366944,12/06/2017 08:09,bac,40B,40D,40,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,Dorset St,Dorset St,53.35678889,-6.264623056,12/06/2017 08:09,bac,122,11,1,16,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Dorset St,Dorset St,53.35853694,-6.262723889,12/06/2017 08:09,bac,44,40,40D,40B,16,1,11,122,13,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Dorset St,Dorset St,53.36025111,-6.260973056,12/06/2017 08:09,bac,13,11,1,16,40B,40D,40,41,41B,41C,44,33,,,,,,,,,,,,,,,,,,,,,,,
16,16,Nephin Road,Nephin Road,53.36641889,-6.305635,12/06/2017 08:09,bac,70D,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Drumcondra Rd,Drumcondra Rd,53.36306694,-6.258398056,12/06/2017 08:09,bac,13,1,11,16,33,44,41C,41B,41,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Drumcondra Rd,Drumcondra Rd,53.36584889,-6.255931111,12/06/2017 08:09,bac,41,41B,41C,44,33,16,11,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Drumcondra Rd,Drumcondra Rd,53.36713806,-6.255493056,12/06/2017 08:09,bac,13,1,11,16,33,44,41C,41B,41,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,Drumcondra Rd,Drumcondra Rd,53.37009194,-6.254291111,12/06/2017 08:09,bac,41,41B,41C,44,11,1,13,16,33,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,Home Farm Road,Home Farm Road,53.37350306,-6.252781944,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,Home Farm Road,Home Farm Road,53.37423194,-6.256245,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,Home Farm Road,Home Farm Road,53.375135,-6.260346111,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,Home Farm Road,Home Farm Road,53.37590306,-6.263611111,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,Ballymun Road,Ballymun Road,53.37943806,-6.266575,12/06/2017 08:09,bac,11,13,4,70D,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,Ballymun Road,Ballymun Road,53.381575,-6.265988889,12/06/2017 08:09,bac,9,70D,4,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,Ballymun Road,Ballymun Road,53.38348389,-6.265663056,12/06/2017 08:09,bac,11,13,4,70D,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,Ventry Park,Ventry Park,53.37032111,-6.304578056,12/06/2017 08:09,bac,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,St. Pappin's Road,St. Pappin's Road,53.38603194,-6.268845,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,St. Pappin's Road,St. Pappin's Road,53.38619306,-6.27137,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,Glasnevin Drive,Glasnevin Drive,53.38875306,-6.271751111,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,St. Pappin's Road,St. Pappin's Road,53.38620806,-6.270908056,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,St. Pappin's Road,St. Pappin's Road,53.38612306,-6.267871944,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,Ballymun Road,Ballymun Road,53.38534694,-6.264878889,12/06/2017 08:09,bac,11,13,70D,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,Ballymun Road,Ballymun Road,53.38223889,-6.2655,12/06/2017 08:09,bac,9,4,70D,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,Ballymun Road,Ballymun Road,53.38041611,-6.265648889,12/06/2017 08:09,bac,11,13,70D,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,Mobhi Road,Mobhi Road,53.37666194,-6.264663056,12/06/2017 08:09,bac,9,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,Home Farm Road,Home Farm Road,53.37555611,-6.26184,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,Home Farm Road,Home Farm Road,53.37465389,-6.257438889,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,Home Farm Road,Home Farm Road,53.37386111,-6.253873056,12/06/2017 08:09,bac,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,Drumcondra Rd,Drumcondra Rd,53.37301611,-6.25211,12/06/2017 08:09,bac,11,1,13,16,16C,33,44,41C,41,41A,41B,,,,,,,,,,,,,,,,,,,,,,,,
45,45,Drumcondra Rd,Drumcondra Rd,53.36988111,-6.254133056,12/06/2017 08:09,bac,41B,41,41A,41C,44,33,16C,16,11,1,13,,,,,,,,,,,,,,,,,,,,,,,,
46,46,Drumcondra Rd,Drumcondra Rd,53.36714694,-6.255358889,12/06/2017 08:09,bac,13,1,11,16,16C,33,44,41C,41A,41,41B,,,,,,,,,,,,,,,,,,,,,,,,
47,47,Drumcondra Rd,Drumcondra Rd,53.36390889,-6.257276111,12/06/2017 08:09,bac,41B,41,41A,41C,44,33,16C,16,11,1,13,,,,,,,,,,,,,,,,,,,,,,,,
48,48,Drumcondra Rd,Drumcondra Rd,53.36232194,-6.258763889,12/06/2017 08:09,bac,13,1,11,16,16C,33,44,41C,41A,41,41B,,,,,,,,,,,,,,,,,,,,,,,,
49,49,Dorset St,Dorset St,53.359955,-6.260865,12/06/2017 08:09,bac,41B,41A,40,41,40D,40B,41C,44,33,16C,16,11,1,13,,,,,,,,,,,,,,,,,,,,,
51,51,Dorset St,Dorset St,53.35781611,-6.263266111,12/06/2017 08:09,bac,13,122,1,11,16,16C,33,41C,40B,40D,40,41,41A,41B,44,,,,,,,,,,,,,,,,,,,,
52,52,Dorset St,Dorset St,53.356645,-6.264533889,12/06/2017 08:09,bac,44,41B,41A,41,40,40D,40B,41C,33,16,16C,11,1,122,13,,,,,,,,,,,,,,,,,,,,
53,53,North Circular Road,North Circular Road,53.35998611,-6.26282,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,North Circular Road,North Circular Road,53.36014889,-6.265556944,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,North Circular Road,North Circular Road,53.36041,-6.268455,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,Cabra Road,Cabra Road,53.36075889,-6.27645,12/06/2017 08:09,bac,122,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,Cabra Road,Cabra Road,53.36076694,-6.276603889,12/06/2017 08:09,bac,38,38D,38A,38B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,Cabra Road,Cabra Road,53.36093694,-6.281186111,12/06/2017 08:09,bac,38B,38A,38D,38,120,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,Cabra Road,Cabra Road,53.36107611,-6.28487,12/06/2017 08:09,bac,122,38,38D,38A,38B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,Cabra Road,Cabra Road,53.361235,-6.289248889,12/06/2017 08:09,bac,38B,38A,38D,38,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,Faussagh Avenue,Faussagh Avenue,53.36678806,-6.292728889,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,Faussagh Avenue,Faussagh Avenue,53.36708111,-6.295213056,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,Faussagh Avenue,Faussagh Avenue,53.36724611,-6.298033056,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,Faussagh Avenue,Faussagh Avenue,53.367295,-6.300863889,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,Ventry Drive,Ventry Drive,53.36907,-6.304223056,12/06/2017 08:09,bac,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,Carnlough Road,Carnlough Road,53.37138306,-6.30332,12/06/2017 08:09,bac,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,Ventry Park,Ventry Park,53.37025111,-6.304416944,12/06/2017 08:09,bac,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,Ventry Drive,Ventry Drive,53.36896111,-6.304241111,12/06/2017 08:09,bac,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,Faussagh Avenue,Faussagh Avenue,53.36738694,-6.300705,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,Faussagh Avenue,Faussagh Avenue,53.36716694,-6.295448056,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,Faussagh Avenue,Faussagh Avenue,53.36653694,-6.291296944,12/06/2017 08:09,bac,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,Cabra Road,Cabra Road,53.361305,-6.289556111,12/06/2017 08:09,bac,122,38D,38A,38,38B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,Cabra Road,Cabra Road,53.36113111,-6.283971944,12/06/2017 08:09,bac,38B,38,38A,38D,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,Cabra Road,Cabra Road,53.36101389,-6.280786111,12/06/2017 08:09,bac,122,120,38D,38B,38A,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,Cabra Road,Cabra Road,53.36085389,-6.27605,12/06/2017 08:09,bac,38,38A,38B,38D,122,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,North Circular Road,North Circular Road,53.36087194,-6.271958889,12/06/2017 08:09,bac,46A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,North Circular Road,North Circular Road,53.36078694,-6.271673056,12/06/2017 08:09,bac,38B,38D,38,38A,122,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,North Circular Road,North Circular Road,53.36027389,-6.26554,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,North Circular Road,North Circular Road,53.360155,-6.263696944,12/06/2017 08:09,bac,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,Drumcondra Rd,Drumcondra Rd,53.3739,-6.251858889,12/06/2017 08:09,bac,13,1,16,33,41C,41,41B,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,Griffith Avenue,Griffith Avenue,53.37605389,-6.251143889,12/06/2017 08:09,bac,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,Griffith Avenue,Griffith Avenue,53.376755,-6.25486,12/06/2017 08:09,bac,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,Griffith Avenue,Griffith Avenue,53.37729111,-6.257676111,12/06/2017 08:09,bac,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,Griffith Avenue,Griffith Avenue,53.37803,-6.261568056,12/06/2017 08:09,bac,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,Ballymun Road,Ballymun Road,53.38638694,-6.265251944,12/06/2017 08:09,bac,13,70D,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,Ballymun Road,Ballymun Road,53.38842806,-6.265396944,12/06/2017 08:09,bac,9,4,70D,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,Ballymun Road,Ballymun Road,53.38983306,-6.26466,12/06/2017 08:09,bac,13,17A,4,42D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,Ballymun Road,Ballymun Road,53.392295,-6.264146944,12/06/2017 08:09,bac,42D,4,17A,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,Ballymun Road,Ballymun Road,53.39603306,-6.264371944,12/06/2017 08:09,bac,13,17A,4,42D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,Wellington Road,Wellington Road,53.30308,-6.322363056,12/06/2017 08:09,bac,54A,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,Balbutcher Lane,Balbutcher Lane,53.39776806,-6.267708056,12/06/2017 08:09,bac,13,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,Balbutcher Lane,Balbutcher Lane,53.3997,-6.2766,12/06/2017 08:09,bac,220,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,Balbutcher Lane,Balbutcher Lane,53.40292806,-6.28176,12/06/2017 08:09,bac,13,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,Balbutcher Lane,Balbutcher Lane,53.40203111,-6.279673889,12/06/2017 08:09,bac,220,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,Balbutcher Lane,Balbutcher Lane,53.39793694,-6.268683056,12/06/2017 08:09,bac,13,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,Ballymun Road,Ballymun Road,53.39614389,-6.263973889,12/06/2017 08:09,bac,17A,13,42D,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,Ballymun Road,Ballymun Road,53.39226889,-6.263688056,12/06/2017 08:09,bac,4,42D,13,17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,Ballymun Road,Ballymun Road,53.39133389,-6.263706111,12/06/2017 08:09,bac,13,104,42D,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,Ballymun Road,Ballymun Road,53.387935,-6.265036944,12/06/2017 08:09,bac,4,70D,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,Griffith Avenue,Griffith Avenue,53.37769306,-6.259648889,12/06/2017 08:09,bac,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,Griffith Avenue,Griffith Avenue,53.37736611,-6.257526111,12/06/2017 08:09,bac,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,Griffith Avenue,Griffith Avenue,53.37663889,-6.253568056,12/06/2017 08:09,bac,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,Drumcondra Rd,Drumcondra Rd,53.37508111,-6.250821111,12/06/2017 08:09,bac,13,1,16,16C,33,44,41B,41C,41A,41,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,Shangan Road,Shangan Road,53.39491806,-6.260606111,12/06/2017 08:09,bac,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126,Ballymun Road,Ballymun Road,53.39909194,-6.264086111,12/06/2017 08:09,bac,17A,42D,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127,Ballymun Road,Ballymun Road,53.39910694,-6.263668056,12/06/2017 08:09,bac,4,17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,Glasnevin Avenue,Glasnevin Avenue,53.389315,-6.265816944,12/06/2017 08:09,bac,17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,Glasnevin Avenue,Glasnevin Avenue,53.38988806,-6.271413056,12/06/2017 08:09,bac,17A,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130,Glasnevin Avenue,Glasnevin Avenue,53.39009111,-6.27417,12/06/2017 08:09,bac,9,17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,Glasnevin Avenue,Glasnevin Avenue,53.39038389,-6.278343056,12/06/2017 08:09,bac,17A,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,Glasnevin Avenue,Glasnevin Avenue,53.39047806,-6.282651944,12/06/2017 08:09,bac,17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,Grove Park Road,Grove Park Road,53.39079111,-6.286286111,12/06/2017 08:09,bac,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,Sycamore Rd,Sycamore Rd,53.39309306,-6.286061111,12/06/2017 08:09,bac,83A,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,McKee Road,McKee Road,53.39438111,-6.28985,12/06/2017 08:09,bac,9,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,McKee Road,McKee Road,53.39231389,-6.292615,12/06/2017 08:09,bac,220,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,Ballygall Road West,Ballygall Road West,53.38992,-6.292333056,12/06/2017 08:09,bac,9,83,83A,17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139,Glasnevin Avenue,Glasnevin Avenue,53.39060306,-6.286448056,12/06/2017 08:09,bac,17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,Glasnevin Avenue,Glasnevin Avenue,53.39065389,-6.28236,12/06/2017 08:09,bac,17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,Glasnevin Avenue,Glasnevin Avenue,53.39044306,-6.278083056,12/06/2017 08:09,bac,17A,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,Glasnevin Avenue,Glasnevin Avenue,53.39018806,-6.274163056,12/06/2017 08:09,bac,9,17A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,Glasnevin Avenue,Glasnevin Avenue,53.38987111,-6.269241111,12/06/2017 08:09,bac,17A,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,Mobhi Road,Mobhi Road,53.37516194,-6.265043889,12/06/2017 08:09,bac,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,Mobhi Road,Mobhi Road,53.37248111,-6.265828056,12/06/2017 08:09,bac,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148,Mobhi Road,Mobhi Road,53.37066111,-6.268063056,12/06/2017 08:09,bac,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,Mobhi Road,Mobhi Road,53.37313806,-6.265968889,12/06/2017 08:09,bac,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,150,Mobhi Road,Mobhi Road,53.37565694,-6.26499,12/06/2017 08:09,bac,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,Botanic Rd,Botanic Rd,53.37195806,-6.269291111,12/06/2017 08:09,bac,83A,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153,Glasnevin Hill,Glasnevin Hill,53.37573611,-6.270073056,12/06/2017 08:09,bac,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,154,Old Finglas Rd,Old Finglas Rd,53.37726306,-6.275538889,12/06/2017 08:09,bac,83A,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,155,Old Finglas Rd,Old Finglas Rd,53.37787,-6.279563056,12/06/2017 08:09,bac,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,156,Tolka Estate,Tolka Estate,53.37862306,-6.28166,12/06/2017 08:09,bac,83,70D,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,Glasilawn Road,Glasilawn Road,53.38041306,-6.281625,12/06/2017 08:09,bac,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,158,Griffith Road,Griffith Road,53.38134806,-6.283676944,12/06/2017 08:09,bac,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,159,Griffith Parade,Griffith Parade,53.38278194,-6.282816944,12/06/2017 08:09,bac,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,164,Beneavin Rd,Beneavin Rd,53.38842889,-6.280468889,12/06/2017 08:09,bac,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,165,Beneavin Rd,Beneavin Rd,53.38902889,-6.283755,12/06/2017 08:09,bac,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,166,Beneavin Rd,Beneavin Rd,53.389585,-6.286293056,12/06/2017 08:09,bac,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,167,Beneavin Rd,Beneavin Rd,53.39018611,-6.286973889,12/06/2017 08:09,bac,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,168,Beneavin Rd,Beneavin Rd,53.389255,-6.284413889,12/06/2017 08:09,bac,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,169,Beneavin Rd,Beneavin Rd,53.38843389,-6.2801,12/06/2017 08:09,bac,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173,Glasnamana Place,Glasnamana Place,53.382125,-6.280533889,12/06/2017 08:09,bac,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174,Tolka Estate,Tolka Estate,53.38067889,-6.280938889,12/06/2017 08:09,bac,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175,Tolka Estate,Tolka Estate,53.37842694,-6.281555,12/06/2017 08:09,bac,83A,83,70D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,176,Old Finglas Rd,Old Finglas Rd,53.37803389,-6.279281944,12/06/2017 08:09,bac,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,Ballygall Rd East,Ballygall Rd East,53.38046889,-6.276206111,12/06/2017 08:09,bac,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,178,Ballygall Rd East,Ballygall Rd East,53.381885,-6.276331944,12/06/2017 08:09,bac,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,179,Ballygall Rd East,Ballygall Rd East,53.38029889,-6.275993056,12/06/2017 08:09,bac,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,181,Old Finglas Rd,Old Finglas Rd,53.37714806,-6.27421,12/06/2017 08:09,bac,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,182,Glasnevin Hill,Glasnevin Hill,53.375645,-6.269881944,12/06/2017 08:09,bac,83A,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,183,Botanic Rd,Botanic Rd,53.37231694,-6.26874,12/06/2017 08:09,bac,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,184,Botanic Rd,Botanic Rd,53.369695,-6.268971111,12/06/2017 08:09,bac,83A,83,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,185,Botanic Rd,Botanic Rd,53.36809389,-6.270018889,12/06/2017 08:09,bac,4,9,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,186,Prospect Road,Prospect Road,53.36535,-6.271581944,12/06/2017 08:09,bac,83A,83,9,4,40,40B,40D,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,187,Phibsboro Road,Phibsboro Road,53.36272611,-6.272436944,12/06/2017 08:09,bac,140,40,4,9,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,Phibsboro Road,Phibsboro Road,53.36011389,-6.272581111,12/06/2017 08:09,bac,83A,83,9,4,40,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,Phibsboro Road,Phibsboro Road,53.35716306,-6.273461944,12/06/2017 08:09,bac,140,40,4,9,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,Phibsboro Road,Phibsboro Road,53.35511889,-6.273366111,12/06/2017 08:09,bac,83A,83,9,4,40,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,Western Way,Western Way,53.35507,-6.26937,12/06/2017 08:09,bac,140,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,192,Mountjoy Street,Mountjoy Street,53.35643889,-6.268063056,29/05/2017 09:46,bac,46A,38B,38D,38,38A,40,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,193,Mckee Road,Mckee Road,53.39119111,-6.294091111,29/05/2017 09:46,bac,220,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,Western Way,Western Way,53.35503889,-6.26997,29/05/2017 09:46,bac,9,140,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,195,Phibsboro Road,Phibsboro Road,53.355,-6.2735,29/05/2017 09:46,bac,4,140,9,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,196,Phibsboro Road,Phibsboro Road,53.35687806,-6.273738056,29/05/2017 09:46,bac,83A,83,9,140,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,197,Phibsboro Road,Phibsboro Road,53.35894889,-6.273225,29/05/2017 09:46,bac,4,140,9,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,198,Phibsboro Road,Phibsboro Road,53.36162111,-6.272835,29/05/2017 09:46,bac,83A,83,9,140,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,199,Phibsboro Road,Phibsboro Road,53.363615,-6.272286111,29/05/2017 09:46,bac,4,140,9,83,83A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,200,Prospect Way,Prospect Way,53.36741889,-6.271593889,29/05/2017 09:46,bac,83A,83,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
