Timestamp,Journey_Pattern_ID,Start_date,Vehicle_Journey_ID,Operator,Lon,Lat,Delay,Block_ID,Vehicle_ID,Stop_ID,At_Stop,Time,IsWeekend,HourOfDay,IsEveningTime,IsPeakTime,SchoolHoliday,stop_order,fullname,Precipitation (mm),Temperature C,Vapour Pressure (hPa)                ,Relative Humidity (%),Mean Sea Level Pressure (hPa),Rainfall (Yes or No),Over 1mm Rain?
1359626709000000,00040001,2013-01-31,963581,HN,-6.26497,53.402534,-174,4069,33219,7113,1,2013-01-31 10:05:09,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
1359626731000000,00040001,2013-01-31,963581,HN,-6.26497,53.402534,-154,4069,33219,7113,1,2013-01-31 10:05:31,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
1359626761000000,00040001,2013-01-31,963581,HN,-6.26497,53.402534,-134,4069,33219,7113,1,2013-01-31 10:06:01,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
1359626774000000,00040001,2013-01-31,963581,HN,-6.26497,53.402534,-114,4069,33219,7113,1,2013-01-31 10:06:14,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
1359626791000000,00040001,2013-01-31,963581,HN,-6.26497,53.402534,-94,4069,33219,7113,1,2013-01-31 10:06:31,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
1359626810000000,00040001,2013-01-31,963581,HN,-6.26475,53.401558,-124,4069,33219,7113,0,2013-01-31 10:06:50,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
1359626829000000,00040001,2013-01-31,963581,HN,-6.264696,53.401478,-124,4069,33219,7113,0,2013-01-31 10:07:09,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
1359626855000000,00040001,2013-01-31,963581,HN,-6.264239,53.400848,-124,4069,33219,7113,0,2013-01-31 10:07:35,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
1359626867000000,00040001,2013-01-31,963581,HN,-6.2638120000000015,53.399124,-194,4069,33219,7113,0,2013-01-31 10:07:47,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
1359626928000000,00040001,2013-01-31,963581,HN,-6.263883,53.39791500000001,-194,4069,33219,7113,0,2013-01-31 10:08:48,0,10,0,1,0,0,Ballymun Road,0.0,6.1,7.5,79.0,1004.9,0,0
